Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Areal_m2;Årsavgift_nok;Årsavgift_arealgrunnlag;Årsavgift_kalenderår;Årsavgift_sats;Geometri
0007/1986-NB;Ørtfjell 7;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;255000;2600;26;;100;POLYGON ((14.7300639743859 66.4273398322893,14.7490971677705 66.4271547240509,14.7489330633324 66.4244654152682,14.7299019088653 66.4246504983847,14.7300639743859 66.4273398322893))
0028/1986-NB;Vesteråli 3;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;250000;2500;25;;100;POLYGON ((14.4490586666984 66.4306979487695,14.4602573077212 66.4306095355336,14.4600354728996 66.4261268142278,14.4488388802713 66.4262151986801,14.4490586666984 66.4306979487695))
0029/1986-NB;Vesteråli 4;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda - Nordlánda - Nordlaante;300000;3000;30;;100;POLYGON ((14.4602573077212 66.4306095355336,14.4736955241174 66.430502397461,14.4734712869646 66.4260196926069,14.4600354728996 66.4261268142278,14.4602573077212 66.4306095355336))
0005/1992-VB;Haugesundsgangen;UTVINNINGSRETT;Bømlo Gold Mining Comp. DA;975868826;Godkjent;1992-11-09;1993-08-26;Gull;4613;Bømlo;46;Vestland;61950;1000;7;;100;POLYGON ((5.16728995688213 59.7107879633133,5.17101937438635 59.7108580232282,5.1713557489411 59.7082120479475,5.16762424761789 59.7082317533393,5.16728995688213 59.7107879633133))
0003/1992-ØB;Konnerudkollen 1;UTVINNINGSRETT;Nils Otto Larsen;;Godkjent;1996-02-26;1996-03-28;Aq,Bly,Kobber,Zu;3301;Drammen;33;Buskerud;185000;1900;19;;100;POLYGON ((10.1237400145951 59.7359954807095,10.1274959071249 59.7347558653566,10.1203070952271 59.7291578187594,10.1165515684201 59.7303972326336,10.1237400145951 59.7359954807095))
0001/1997-VB;Engebøfjellet 1;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;250500;2600;26;;100;POLYGON ((5.41027047882739 61.4954914752946,5.41590251489841 61.4955179770272,5.41601968142529 61.489820153339,5.41038871056494 61.4897936772007,5.41027047882739 61.4954914752946))
0002/1997-VB;Engebøfjellet 2;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;297000;3000;30;;100;POLYGON ((5.41584973459405 61.4980753002474,5.42204549596177 61.4981041911233,5.42221007432106 61.4900286126268,5.4160159407436 61.4899997298003,5.41584973459405 61.4980753002474))
0003/1997-VB;Engebøfjellet 3;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;205375;2100;21;;100;POLYGON ((5.42214608898312 61.4931691234996,5.43209529604915 61.4932149328327,5.4321717509374 61.4894014490595,5.42221007432106 61.4900286126268,5.42214608898312 61.4931691234996))
0004/1997-VB;Engebøfjellet 4;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;291500;3000;30;;100;POLYGON ((5.42204549596177 61.4981041911233,5.43199630266283 61.4981500079492,5.43209529604915 61.4932149328327,5.42214608898312 61.4931691234996,5.42204549596177 61.4981041911233))
0005/1997-VB;Engebøfjellet 5;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;199500;2000;20;;100;POLYGON ((5.43199630266283 61.4981500079492,5.43556358871935 61.4981662595135,5.43575142796034 61.4887447236366,5.4321717509374 61.4894014490595,5.43199630266283 61.4981500079492))
